State,County,Minor Civil Division,Metropolitan Statistical Area of the County,State,County,Minor Civil Division,Metropolitan Statistical Area of the County,Method of Transport,Work Flow,Margin of Error
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ","Car, truck, or van: Drove alone","8,637",630
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ","Car, truck, or van: Carpooled",666,174
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Public transportation,146,93
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Other travel mode,"1,569",282
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Bourne town,"Barnstable Town, MA ","Car, truck, or van: Drove alone",469,161
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Bourne town,"Barnstable Town, MA ","Car, truck, or van: Carpooled",100,73
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Brewster town,"Barnstable Town, MA ","Car, truck, or van: Drove alone",184,100
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Chatham town,"Barnstable Town, MA ","Car, truck, or van: Drove alone",262,140
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Dennis town,"Barnstable Town, MA ","Car, truck, or van: Drove alone",400,136
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Dennis town,"Barnstable Town, MA ","Car, truck, or van: Carpooled",21,32
Massachusetts,Barnstable County,Barnstable Town city,"Barnstable Town, MA ",Massachusetts,Barnstable County,Eastham town,"Barnstable Town, MA ","Car, truck, or van: Drove alone",54,44
